Reward is: 7.75715742111206| input type: 2| time:18309
Reward is: 7.725071682248797| input type: 2| time:18370
Reward is: 7.231477451324463| input type: 2| time:18430
Reward is: 7.198738234383719| input type: 2| time:18490
Reward is: 7.151520667757307| input type: 2| time:18549
Reward is: 7.210804986953735| input type: 2| time:18610
Reward is: 7.322448376246861| input type: 2| time:18671
Reward is: 7.2293073858533585| input type: 2| time:18731
Reward is: 7.048287725448608| input type: 2| time:18792
Reward is: 7.2162353106907435| input type: 2| time:18852
Reward is: 7.177552134650094| input type: 2| time:18911
Reward is: 7.143458489009312| input type: 2| time:18971
Reward is: 7.152920055389404| input type: 2| time:19030
Reward is: 7.115467262268067| input type: 2| time:19089
Reward is: 7.193299429757254| input type: 2| time:19149
Reward is: 7.715217849186489| input type: 2| time:19210
Reward is: 7.101169300079346| input type: 2| time:19269
Reward is: 7.608604526519775| input type: 2| time:19328
Reward is: 7.488774793488639| input type: 2| time:19386
Reward is: 7.643794187477656| input type: 2| time:19445
Reward is: 8.28304441486086| input type: 2| time:19506
Reward is: 8.237956506865366| input type: 2| time:19566
Reward is: 7.645032857145582| input type: 2| time:19625
Reward is: 8.219254766191755| input type: 2| time:19685
Reward is: 7.639179868357522| input type: 2| time:19745
Reward is: 8.078201608998434| input type: 2| time:19803
Reward is: 8.04992629800524| input type: 2| time:19861
Reward is: 8.022646137646266| input type: 2| time:19919
Reward is: 8.043868643896921| input type: 2| time:19977
Reward is: 8.11334843294961| input type: 2| time:20038
Reward is: 7.977885484695435| input type: 2| time:20095
Reward is: 8.096076258591243| input type: 2| time:20154
Reward is: 8.021991346563611| input type: 2| time:20212
Reward is: 8.129254468849727| input type: 2| time:20271
Reward is: 8.08609128849847| input type: 2| time:20329
Reward is: 8.084107450076512| input type: 2| time:20387
Reward is: 8.040025983537946| input type: 2| time:20446
Reward is: 8.078398942947388| input type: 2| time:20504
Reward is: 8.030581312520162| input type: 2| time:20562
Reward is: 7.996608223233904| input type: 2| time:20620
Reward is: 8.129946504320417| input type: 2| time:20679
Reward is: 7.962957765374865| input type: 2| time:20736
Reward is: 8.101297114576612| input type: 2| time:20795
Reward is: 7.63413884810039| input type: 2| time:20854
Reward is: 7.5775617105620245| input type: 2| time:20913
Reward is: 7.612295372145517| input type: 2| time:20972
Reward is: 7.568759747913905| input type: 2| time:21030
Reward is: 7.586222461291722| input type: 2| time:21088
Reward is: -2| input type: 2| time:21104
Reward is: 7.522987646715982| input type: 2| time:21151
Reward is: 7.629458904266357| input type: 2| time:21209
Reward is: 7.6983077100345065| input type: 2| time:21271
Reward is: 7.7164044209889004| input type: 2| time:21331
Reward is: 8.07138706105096| input type: 2| time:21389
Reward is: 8.063242060797556| input type: 2| time:21448
Reward is: 8.107257289545878| input type: 2| time:21507
Reward is: 8.141759080546244| input type: 2| time:21566
Reward is: 7.611553370952606| input type: 2| time:21625
Reward is: 8.066380730697087| input type: 2| time:21683
Reward is: 7.662008021559034| input type: 2| time:21742
Reward is: 8.1033621600696| input type: 2| time:21801
Reward is: -5.211468841348376| input type: 2| time:21869
Reward is: 8.113542139530182| input type: 2| time:21928
Reward is: 8.086556357996805| input type: 2| time:21986
Reward is: 7.948597959109716| input type: 2| time:22043
Reward is: 8.079905680247716| input type: 2| time:22101
Reward is: 8.075504609516688| input type: 2| time:22160
Reward is: 8.190979812826429| input type: 2| time:22219
Reward is: 7.94976510320391| input type: 2| time:22277
Reward is: 8.18187723840986| input type: 2| time:22336
Reward is: 7.997557648590632| input type: 2| time:22394
Reward is: 8.114978756223406| input type: 2| time:22452
Reward is: 8.116061193602427| input type: 2| time:22514
Reward is: 7.88330647775105| input type: 2| time:22570
Reward is: 7.914945100034986| input type: 2| time:22627
Reward is: 7.895191601344518| input type: 2| time:22684
Reward is: 7.410097786358424| input type: 2| time:22741
Reward is: 7.8469163094248096| input type: 2| time:22798
Reward is: 7.35489787374224| input type: 2| time:22854
