Time quotient is: 0.35641913414001464| input type: 1| time:10472
Time quotient is: 0.6626074314117432| input type: 2| time:10529
Time quotient is: 0.22461350945865408| input type: 1| time:10583
Time quotient is: 1.530350284576416| input type: 4| time:10656
Time quotient is: 0.24404921657160708| input type: 3| time:10723
Time quotient is: 0.18805901169776917| input type: 4| time:10796
Time quotient is: 0.21028867508601218| input type: 2| time:10852
Time quotient is: 0.37177029777975645| input type: 4| time:10925
Time quotient is: 0.6952686019060088| input type: 3| time:10988
Time quotient is: 0.3897507970983332| input type: 1| time:11044
Time quotient is: 0.17408887256275524| input type: 1| time:11097
Time quotient is: 0.6204120763918248| input type: 3| time:11156
Time quotient is: 0.3143936689349188| input type: 2| time:11212
Time quotient is: 0.17977578206495806| input type: 1| time:11266
Time quotient is: 0.16905659906791917| input type: 3| time:11328
Time quotient is: 0.19057793736457826| input type: 4| time:11400
Time quotient is: 0.15872565616260875| input type: 3| time:11461
Time quotient is: 0.6379952547026844| input type: 3| time:11521
Time quotient is: 1.3349501927693685| input type: 1| time:11576
Time quotient is: 0.23967422309674716| input type: 3| time:11638
Time quotient is: 0.15313956665270256| input type: 3| time:11700
Time quotient is: 0.17650257674130526| input type: 1| time:11755
Time quotient is: 0.1875700807571411| input type: 4| time:11827
Time quotient is: 0.7163202321087873| input type: 1| time:11882
Time quotient is: 0.35514720569957386| input type: 1| time:11936
Time quotient is: 0.22715139389038086| input type: 1| time:11990
Time quotient is: 0.6543214040644029| input type: 2| time:12047
Time quotient is: 0.18743252038955688| input type: 4| time:12119
Time quotient is: 0.7067631085713705| input type: 1| time:12174
Time quotient is: 0.158269926071167| input type: 2| time:12229
Time quotient is: 0.3853995063088157| input type: 1| time:12285
Time quotient is: 0.19115492939949036| input type: 4| time:12359
Time quotient is: 0.35391645431518554| input type: 1| time:12413
Time quotient is: 0.7380089715675071| input type: 4| time:12488
Time quotient is: 0.3284649122052076| input type: 3| time:12550
Time quotient is: 0.7478828871691668| input type: 1| time:12604
Time quotient is: 0.3700508136375278| input type: 4| time:12676
Time quotient is: 0.1769349314949729| input type: 1| time:12730
Time quotient is: 0.2801103711128235| input type: 4| time:12803
Time quotient is: 0.15530005512815534| input type: 3| time:12864
Time quotient is: 0.22904067917873985| input type: 3| time:12925
Time quotient is: 0.36741667869044287| input type: 4| time:12997
Time quotient is: 0.16801547426165955| input type: 3| time:13060
Time quotient is: 0.34275818216627923| input type: 2| time:13118
Time quotient is: 0.2254099490349753| input type: 3| time:13179
Time quotient is: 0.17996865844726562| input type: 2| time:13236
Time quotient is: 0.276209134714944| input type: 4| time:13309
Time quotient is: 0.21642053474500342| input type: 2| time:13367
Time quotient is: 0.716968333279645| input type: 1| time:13421
Time quotient is: 0.17659189414978027| input type: 2| time:13477
Time quotient is: 0.7001509136623807| input type: 4| time:13550
Time quotient is: 1.3059146563212076| input type: 1| time:13604
Time quotient is: 0.7158322775805438| input type: 1| time:13659
Time quotient is: 0.35180856531316584| input type: 1| time:13713
Time quotient is: 0.2502684572286773| input type: 3| time:13776
Time quotient is: 0.7304603082162363| input type: 1| time:13831
Time quotient is: 1.4727390098571778| input type: 4| time:13903
Time quotient is: 0.17750685865228827| input type: 1| time:13958
Time quotient is: 0.8996865219540067| input type: 1| time:14017
Time quotient is: 0.21544917583465575| input type: 4| time:14095
Time quotient is: 0.23506119467995384| input type: 1| time:14155
Time quotient is: 0.20918110013008118| input type: 4| time:14232
Time quotient is: 0.4163259289481423| input type: 1| time:14289
Time quotient is: 0.4324999019211414| input type: 4| time:14368
Time quotient is: 1.7938685989379883| input type: 4| time:14448
Time quotient is: 0.7371604675199928| input type: 3| time:14513
Time quotient is: 0.21525664112784645| input type: 1| time:14571
Time quotient is: 0.3732596112460625| input type: 3| time:14637
Time quotient is: 0.18197412924333053| input type: 3| time:14702
Time quotient is: 0.36872100248569395| input type: 3| time:14767
Time quotient is: 1.5880891398379677| input type: 3| time:14832
Time quotient is: 0.1864672053943981| input type: 3| time:14903
Time quotient is: 0.20788713836669923| input type: 2| time:14964
Time quotient is: 0.22076859593391418| input type: 4| time:15043
Time quotient is: 0.1964816665649414| input type: 2| time:15102
Time quotient is: 0.2029672319238836| input type: 1| time:15160
Time quotient is: 0.21196670748970725| input type: 1| time:15218
Time quotient is: 0.836429445831864| input type: 1| time:15276
Time quotient is: 0.21001309394836426| input type: 2| time:15337
Time quotient is: 0.7241048115055736| input type: 3| time:15401
Time quotient is: 0.8177124306007668| input type: 4| time:15480
Time quotient is: 1.873801212310791| input type: 4| time:15562
