Reward is: -6| input type: 2| time:91
Reward is: 7.492117215605343| input type: 2| time:10102
Reward is: 7.5371231471790985| input type: 2| time:10159
Reward is: 7.541627091519973| input type: 2| time:10217
Reward is: 7.611832618713379| input type: 2| time:10276
Reward is: 7.547537649379057| input type: 2| time:10333
Reward is: 7.50926069652333| input type: 2| time:10390
Reward is: 7.514112612780403| input type: 2| time:10448
Reward is: 7.571231842041016| input type: 2| time:10506
Reward is: 7.510137431761798| input type: 2| time:10563
Reward is: 7.521234708673814| input type: 2| time:10620
Reward is: 7.484483985339894| input type: 2| time:10677
Reward is: 7.510763974750743| input type: 2| time:10735
Reward is: 7.557882645550896| input type: 2| time:10793
Reward is: 7.582602010053747| input type: 2| time:10851
Reward is: 7.539079476805294| input type: 2| time:10909
Reward is: 7.728305767564213| input type: 2| time:10968
Reward is: 7.424571871757507| input type: 2| time:11025
Reward is: 7.583731251604417| input type: 2| time:11083
Reward is: 7.619515348883236| input type: 2| time:11141
Reward is: 7.51324700607973| input type: 2| time:11199
Reward is: 7.550467000288122| input type: 2| time:11257
Reward is: 7.599539854947258| input type: 2| time:11315
Reward is: 7.592247549225302| input type: 2| time:11373
Reward is: 9.204367588548099| input type: 2| time:11433
Reward is: 7.691907349754782| input type: 2| time:11493
Reward is: 7.615119450232562| input type: 2| time:11552
Reward is: 7.677042252877179| input type: 2| time:11611
Reward is: 7.498662079081816| input type: 2| time:11668
Reward is: 7.622340609045589| input type: 2| time:11727
Reward is: 7.7367498033186966| input type: 2| time:11787
Reward is: 7.600740916588727| input type: 2| time:11845
Reward is: 7.608550268061021| input type: 2| time:11904
Reward is: 7.609569023637211| input type: 2| time:11965
Reward is: 7.596931380384109| input type: 2| time:12023
Reward is: 7.588650128420662| input type: 2| time:12082
Reward is: 7.525631553986493| input type: 2| time:12139
Reward is: 7.594646096229553| input type: 2| time:12197
Reward is: 7.584440322483287| input type: 2| time:12255
Reward is: 7.532902885885799| input type: 2| time:12312
Reward is: 7.571457694558537| input type: 2| time:12370
Reward is: 7.648027504191679| input type: 2| time:12429
Reward is: 7.531381936634288| input type: 2| time:12487
Reward is: 7.517306902829338| input type: 2| time:12544
Reward is: 7.574197145069347| input type: 2| time:12602
Reward is: 7.733155811534209| input type: 2| time:12661
Reward is: 7.505448677960564| input type: 2| time:12719
Reward is: 7.5155518125085266| input type: 2| time:12776
Reward is: 7.489358305931091| input type: 2| time:12833
Reward is: 7.515081700156717| input type: 2| time:12890
Reward is: 7.532642133095685| input type: 2| time:12948
Reward is: 7.460317744928248| input type: 2| time:13004
